Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Date	Host Species	Country	State/Province	Flu Season	Strain Name	Creation Date	
NA	U71140	No	6	1410	H3N2	1994	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/94	03/30/2012	
NA	U71141	No	6	1410	H3N2	1995	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/95	03/30/2012	
NA	EF584373	No	6	1410	H3N2	1998	IRD:Human	USA	Alabama	-N/A-	A/Alabama/01/1998(H3N2)	06/18/2008	
NA	KC780352	No	6	1410	H1N1	01/23/2010	IRD:Human	USA	Alabama	09-10	A/Alabama/02/2010	04/08/2013	
NA	KC781128	No	6	1410	H1N1	11/02/2009	IRD:Human	USA	Alabama	09-10	A/Alabama/04/2009	04/08/2013	
NA	CY025383	Yes	6	1425	H1N1	02/28/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0455/2007(H1N1)	10/16/2007	
NA	CY025861	Yes	6	1432	H3N2	03/07/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0545/2007(H3N2)	10/16/2007	
NA	CY100846*	Yes	6	1413	H1N1	04/01/2009	IRD:Human	USA	Alabama	08-09	A/Alabama/WRAIR1235P/2009(H1N1)	12/14/2011	
NA	CY093265	Yes	6	1437	H3N2	02/01/2009	IRD:Human	USA	Alabama	08-09	A/Alabama/WRAIR1242P/2009(H3N2)	07/27/2011	
NA	EU516135	No	6	1413	H1N1	02/01/2007	IRD:Human	USA	Alaska	06-07	A/Alaska/01/2007(H1N1)	06/25/2008	
NA	EU716436	No	6	1410	H3N2	01/22/2008	IRD:Human	USA	Alaska	07-08	A/Alaska/01/2008	04/12/2012	
NA	GQ476140	No	6	1413	H1N1	01/29/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/01/2009(H1N1)	08/21/2009	
NA	EU716533	No	6	1427	H1N1	01/16/2008	IRD:Human	USA	Alaska	07-08	A/Alaska/02/2008	03/28/2012	
NA	KC535499	No	6	1410	H3N2	07/22/2010	IRD:Human	USA	Alaska	-N/A-	A/Alaska/02/2010	03/18/2013	
NA	KC535488	No	6	1410	H3N2	08/06/2010	IRD:Human	USA	Alaska	-N/A-	A/Alaska/03/2010	03/18/2013	
NA	FJ532065	No	6	1410	H3N2	08/09/2008	IRD:Human	USA	Alaska	-N/A-	A/Alaska/04/2008(H3N2)	01/06/2009	
NA	EU516192	No	6	1410	H3N2	03/08/2007	IRD:Human	USA	Alaska	06-07	A/Alaska/06/2007	03/28/2012	
NA	U51245	No	6	1410	H3N2	1995	IRD:Human	USA	Alaska	-N/A-	A/Alaska/10/95	03/28/2012	
NA	EU100539	No	6	1410	N2	12/02/2001	IRD:Human	USA	Alaska	01-02	A/Alaska/14/2001(N2)	06/18/2008	
NA	KC782221	No	6	1410	H1N1	07/08/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/30/2009	04/08/2013	
NA	KC781940	No	6	1410	H1N1	08/11/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/33/2009	04/08/2013	
NA	KC781589	No	6	1410	H1N1	09/04/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/35/2009	04/08/2013	
NA	CY069495	Yes	6	1432	H3N2	03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/WRAIR1172P/2009(H3N2)	08/20/2010	
NA	CY020543	Yes	6	1430	H2N2	02/03/1959	IRD:Human	USA	New York	58-59	A/Albany/1/1959(H2N2)	05/15/2007	
NA	CY021935	Yes	6	1436	H2N2	1960	IRD:Human	USA	New York	-N/A-	A/Albany/1/1960(H2N2)	07/13/2007	
NA	CY021943	Yes	6	1429	H3N2	1976	IRD:Human	USA	New York	-N/A-	A/Albany/1/1976(H3N2)	07/13/2007	
NA	AY209910	No	6	1410	H2N2	1963	IRD:Human	USA	New York	-N/A-	A/Albany/1/63(H2N2)	07/27/2006	
NA	AY209915	No	6	1410	H2N2	1965	IRD:Human	USA	New York	-N/A-	A/Albany/1/65(H2N2)	07/27/2006	
NA	CY021823	Yes	6	1426	H1N1	1951	IRD:Human	USA	New York	-N/A-	A/Albany/12/1951(H1N1)	07/13/2007	
NA	CY022023	Yes	6	1432	H1N1	1951	IRD:Human	USA	New York	-N/A-	A/Albany/14/1951(H1N1)	07/13/2007	
NA	CY020223	Yes	6	1431	H3N2	1978	IRD:Human	USA	New York	-N/A-	A/Albany/14/1978(H3N2)	05/15/2007	
NA	CY021831	Yes	6	1425	H3N2	1976	IRD:Human	USA	New York	-N/A-	A/Albany/15/1976(H3N2)	07/13/2007	
NA	CY021111	Yes	6	1432	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/17/1968(H3N2)	05/15/2007	
NA	CY020527	No	6	1432	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/18/1968(H3N2)	05/15/2007	
NA	CY019909	Yes	6	1419	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/19/1968(H3N2)	05/15/2007	
NA	CY020415	Yes	6	1430	H2N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/2/1968(H2N2)	05/15/2007	
NA	CY021095	Yes	6	1431	H3N2	1974	IRD:Human	USA	New York	-N/A-	A/Albany/20/1974(H3N2)	05/15/2007	
NA	CY021807	Yes	6	1429	H2N2	1957	IRD:Human	USA	New York	-N/A-	A/Albany/22/1957(H2N2)	07/13/2007	
NA	CY021791	Yes	6	1434	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/24/1958(H2N2)	07/13/2007	
NA	CY020383	Yes	6	1429	H2N2	11/12/1957	IRD:Human	USA	New York	57-58	A/Albany/26/1957(H2N2)	05/15/2007	
NA	CY021071	Yes	6	1429	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/3/1958(H2N2)	05/15/2007	
NA	CY020407	Yes	6	1431	H2N2	1967	IRD:Human	USA	New York	-N/A-	A/Albany/3/1967(H2N2)	05/15/2007	
NA	CY022948	Yes	6	1434	H3N2	1970	IRD:Human	USA	New York	-N/A-	A/Albany/3/1970(H3N2)	09/12/2007	
NA	CY020375	Yes	6	1429	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/4/1958(H2N2)	05/15/2007	
NA	CY021103	Yes	6	1432	H3N2	1977	IRD:Human	USA	New York	-N/A-	A/Albany/4/1977(H3N2)	05/15/2007	
NA	CY021079	Yes	6	1431	H3N2	1975	IRD:Human	USA	New York	-N/A-	A/Albany/42/1975(H3N2)	05/15/2007	
NA	CY019949	Yes	6	1413	H1N1	1948	IRD:Human	USA	New York	-N/A-	A/Albany/4835/1948(H1N1)	05/15/2007	
NA	CY021015	Yes	6	1429	H2N2	01/29/1958	IRD:Human	USA	New York	57-58	A/Albany/5/1958(H2N2)	05/15/2007	
NA	CY021119	Yes	6	1431	H3N2	1970	IRD:Human	USA	New York	-N/A-	A/Albany/6/1970(H3N2)	05/15/2007	
NA	AY209899	No	6	1410	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/6/58(H2N2)	07/27/2006	
NA	CY026413	Yes	6	1417	H1N1	1979	IRD:Human	USA	New York	-N/A-	A/Albany/8/1979(H1N1)	01/18/2008	
NA	CY020519	Yes	6	1434	H2N2	1967	IRD:Human	USA	New York	-N/A-	A/Albany/9/1967(H2N2)	05/15/2007	
NA	CY071388	Yes	6	1410	H1N1	10/15/2009	IRD:Human	Jordan	-N/A-	-N/A-	A/Amman/WR0060N/2009(H1N1)	09/02/2010	
NA	CY071588	No	6	1410	H1N1	11/19/2009	IRD:Human	Jordan	-N/A-	-N/A-	A/Amman/WR1335T/2009(H1N1)	09/02/2010	
NA	CY097950	Yes	6	1410	H1N1	12/23/2010	IRD:Human	Jordan	-N/A-	-N/A-	A/Amman/WRAIR3448N/2010	04/12/2012	
NA	CY113231	Yes	6	1436	H3N2	1977	IRD:Human	Netherlands	-N/A-	-N/A-	A/Amsterdam/1609/1977	04/06/2012	
NA	CY112462	Yes	6	1436	H3N2	1992	IRD:Human	Netherlands	-N/A-	-N/A-	A/Amsterdam/4112/1992	09/28/2012	
NA	U43421	No	6	1410	H3N2	1993	IRD:Human	USA	Michigan	-N/A-	A/An Arbor/3/93	03/28/2012	
NA	GU576543	No	6	1410	H1N1	01/09/2010	IRD:Human	Italy	-N/A-	09-10	A/Ancona/01/2010(H1N1)	02/05/2010	
NA	GU576503	No	6	1410	H1N1	07/17/2009	IRD:Human	Italy	-N/A-	08-09	A/Ancona/15/2009(H1N1)	02/05/2010	
NA	GU576544	No	6	1410	H1N1	11/12/2009	IRD:Human	Italy	-N/A-	09-10	A/Ancona/254/2009(H1N1)	02/05/2010	
NA	GU576530	No	6	1410	H1N1	11/13/2009	IRD:Human	Italy	-N/A-	09-10	A/Ancona/274/2009(H1N1)	02/05/2010	
NA	GU576533	No	6	1410	H1N1	11/16/2009	IRD:Human	Italy	-N/A-	09-10	A/Ancona/310/2009(H1N1)	02/05/2010	
NA	GU576541	No	6	1410	H1N1	12/31/2009	IRD:Human	Italy	-N/A-	09-10	A/Ancona/508/2009(H1N1)	02/05/2010	
NA	EU128239	Yes	6	1350	H5N1	11/08/2005	IRD:Human	China	-N/A-	-N/A-	A/Anhui/1/2005(H5N1)	06/18/2008	
NA	HM172189*	Yes	6	1350	H5N1	2005	IRD:Human	China	-N/A-	-N/A-	A/Anhui/1/2005(H5N1)	08/20/2010	
NA	CY098683	No	6	1355	H5N1	03/17/2007	IRD:Human	China	-N/A-	-N/A-	A/Anhui/1/2007	12/14/2011	
NA	CY031581	Yes	6	1429	H2N2	1957	IRD:Human	USA	Michigan	-N/A-	A/Ann Arbor/23/1957(H2N2)	06/18/2008	
NA	AY209903	No	6	1410	H2N2	1960	IRD:Human	USA	Michigan	-N/A-	A/Ann Arbor/6/60(H2N2)	07/27/2006	
NA	AY209923	No	6	1410	H2N2	1967	IRD:Human	USA	Michigan	-N/A-	A/AnnArbor/7/67(H2N2)	07/27/2006	
NA	JN714534	No	6	1410	H1N1	02/01/2011	IRD:Human	Russia	-N/A-	10-11	A/Archangelsk/CRIE-PE/2011(H1N1)	10/28/2011	
NA	JN185126	No	6	1410	H1N1	01/31/2011	IRD:Human	Russia	-N/A-	10-11	A/Archangelsk/CRIE-SPA/2011	09/16/2011	
NA	CY083633	Yes	6	1410	H1N1	07/06/2009	IRD:Human	Peru	-N/A-	-N/A-	A/Arequipa/WRAIR9939F/2009	04/12/2012	
NA	EF541461	No	6	1449	H3N2	2004	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/126/2004(H3N2)	10/14/2008	
NA	EU879077	No	6	1427	H3N2	06/13/2005	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/135/2005(H3N2)	11/06/2008	
NA	CY047773	No	6	1410	H1N1	07/01/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/15765/2009(H1N1)	03/06/2012	
NA	CY047775	No	6	1410	H1N1	06/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/18426/2009(H1N1)	03/06/2012	
NA	CY047781	Yes	6	1410	H1N1	06/17/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/7649/2009(H1N1)	03/06/2012	
NA	CY047789	Yes	6	1410	H1N1	06/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/7785/2009(H1N1)	03/06/2012	
NA	CY073990*	No	6	1410	H1N1	06/27/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/HNRG106/2009	01/24/2011	
NA	CY053898*	No	6	1418	H1N1	06/05/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/HNRG13/2009(H1N1)	01/10/2011	
NA	EU516196	No	6	1413	H1N1	12/06/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/03/2007(H1N1)	06/25/2008	
NA	KC780611	No	6	1410	H1N1	03/06/2010	IRD:Human	USA	Arizona	09-10	A/Arizona/03/2010	04/08/2013	
NA	KC780162	No	6	1410	H1N1	04/03/2010	IRD:Human	USA	Arizona	09-10	A/Arizona/04/2010	04/08/2013	
NA	KC780123	No	6	1410	H1N1	04/09/2010	IRD:Human	USA	Arizona	09-10	A/Arizona/07/2010	04/08/2013	
NA	GQ385833	No	6	1410	H3N2	02/27/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/08/2009(H3N2)	07/28/2009	
NA	KC782279	No	6	1410	H1N1	08/25/2010	IRD:Human	USA	Arizona	-N/A-	A/Arizona/08/2010	04/08/2013	
NA	EU516221	No	6	1410	H3N2	12/23/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/09/2007	03/29/2012	
NA	EU516226	No	6	1410	H3N2	12/14/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/10/2007	04/02/2012	
NA	GQ385907	No	6	1410	H3N2	02/25/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/11/2009(H3N2)	07/28/2009	
NA	EU516233	No	6	1410	H3N2	12/27/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/12/2007	04/02/2012	
NA	EU100512	No	6	1413	N1	05/10/2002	IRD:Human	USA	Arizona	01-02	A/Arizona/13/2002(N1)	06/18/2008	
NA	FJ686950	No	6	1413	H1N1	11/16/2008	IRD:Human	USA	Arizona	08-09	A/Arizona/13/2008(H1N1)	02/20/2009	
NA	KC781592	No	6	1410	H1N1	11/08/2009	IRD:Human	USA	Arizona	09-10	A/Arizona/19/2009	04/08/2013	
NA	EU100492	No	6	1426	H3N2	01/11/2006	IRD:Human	USA	Arizona	05-06	A/Arizona/2/2006(H3N2)	06/18/2008	
NA	EU100560	No	6	1418	H3N2	10/23/2003	IRD:Human	USA	Arizona	03-04	A/Arizona/24/2003(H3N2)	06/18/2008	
NA	EU100586	No	6	1418	N2	11/10/2003	IRD:Human	USA	Arizona	03-04	A/Arizona/32/2003(N2)	06/18/2008	
NA	EU100495	No	6	1447	H3N2	03/02/2006	IRD:Human	USA	Arizona	05-06	A/Arizona/4/2006(H3N2)	06/18/2008	
NA	CY093361	Yes	6	1437	H3N2	03/01/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/WRAIR1562P/2009(H3N2)	07/27/2011	
NA	GQ476047	No	6	1413	H1N1	02/08/2009	IRD:Human	USA	Arkansas	08-09	A/Arkansas/01/2009(H1N1)	08/21/2009	
NA	EU566971	No	6	1410	H3N2	01/04/2008	IRD:Human	USA	Arkansas	07-08	A/Arkansas/02/2008	04/02/2012	
NA	GQ476082	No	6	1413	H1N1	03/01/2009	IRD:Human	USA	Arkansas	08-09	A/Arkansas/02/2009(H1N1)	08/21/2009	
NA	EU566997	No	6	1410	H3N2	01/14/2008	IRD:Human	USA	Arkansas	07-08	A/Arkansas/04/2008	03/28/2012	
NA	KC780771	Yes	6	1410	H1N1	11/13/2009	IRD:Human	USA	Arkansas	09-10	A/Arkansas/09/2009	04/08/2013	
NA	KC782227	No	6	1410	H1N1	11/10/2009	IRD:Human	USA	Arkansas	09-10	A/Arkansas/10/2009	04/08/2013	
NA	CY069543	Yes	6	1413	H1N1	03/2009	IRD:Human	USA	Arkansas	08-09	A/Arkansas/WRAIR1249P/2009(H1N1)	08/20/2010	
NA	CY093297	Yes	6	1437	H3N2	02/01/2009	IRD:Human	USA	Arkansas	08-09	A/Arkansas/WRAIR1251P/2009(H3N2)	07/27/2011	
NA	CY114555	No	6	1419	H3N2	12/06/2011	IRD:Human	Russia	-N/A-	11-12	A/Astrakhan/RII65/2011	04/16/2012	
NA	EF584366	No	6	1410	H3N2	1997	IRD:Human	Greece	-N/A-	-N/A-	A/Athens/23/97(H3N2)	06/18/2008	
NA	CY062709	Yes	6	1420	H1N1	12/13/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS123/2009(H1N1)	05/14/2010	
NA	CY063640	Yes	6	1420	H1N1	12/29/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS153/2009(H1N1)	05/20/2010	
NA	CY062837	Yes	6	1420	H1N1	12/30/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS155/2009(H1N1)	08/09/2010	
NA	CY062861	Yes	6	1420	H1N1	12/18/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS159/2009(H1N1)	05/14/2010	
NA	CY062877	Yes	6	1420	H1N1	12/19/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS161/2009(H1N1)	05/14/2010	
NA	CY062893	Yes	6	1420	H1N1	12/20/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS163/2009(H1N1)	05/14/2010	
NA	CY062901	Yes	6	1420	H1N1	12/20/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS164/2009(H1N1)	05/14/2010	
NA	CY083770*	Yes	6	1440	H1N1	12/10/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS256/2009(H1N1)	03/03/2011	
NA	CY067073	Yes	6	1420	H1N1	12/13/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS259/2009(H1N1)	11/18/2010	
NA	CY067097	Yes	6	1420	H1N1	12/13/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS262/2009(H1N1)	11/18/2010	
NA	CY072376	Yes	6	1420	H1N1	12/25/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS329/2009(H1N1)	09/02/2010	
NA	CY073008	Yes	6	1420	H1N1	12/26/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS330/2009(H1N1)	09/02/2010	
NA	CY072392	Yes	6	1420	H1N1	12/26/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS332/2009(H1N1)	09/02/2010	
NA	CY072424	Yes	6	1420	H1N1	12/30/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS336/2009(H1N1)	09/02/2010	
NA	CY072448	Yes	6	1420	H1N1	12/30/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS339/2009(H1N1)	09/02/2010	
NA	CY072456	Yes	6	1420	H1N1	12/17/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS340/2009(H1N1)	09/02/2010	
NA	CY072464	Yes	6	1420	H1N1	12/17/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS341/2009(H1N1)	09/02/2010	
NA	CY072472	Yes	6	1420	H1N1	12/17/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS342/2009(H1N1)	09/02/2010	
NA	CY069156	Yes	6	1420	H1N1	12/20/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS352/2009(H1N1)	08/20/2010	
NA	CY069164	Yes	6	1420	H1N1	12/21/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS353/2009(H1N1)	08/20/2010	
NA	CY071145	Yes	6	1420	H1N1	01/14/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS390/2010(H1N1)	09/02/2010	
NA	CY075069	Yes	6	1420	H1N1	01/06/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS393/2010(H1N1)	10/14/2010	
NA	CY071169	Yes	6	1420	H1N1	01/21/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS396/2010(H1N1)	09/02/2010	
NA	CY071185	Yes	6	1420	H1N1	01/24/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS398/2010(H1N1)	09/02/2010	
NA	CY071273	Yes	6	1420	H1N1	02/02/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS412/2010(H1N1)	09/02/2010	
NA	CY129672	Yes	6	1434	H1N1	01/27/2011	IRD:Human	Greece	-N/A-	10-11	A/Athens/INS552/2011	01/14/2013	
NA	CY129696	Yes	6	1434	H1N1	02/24/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS555/2010	01/14/2013	
NA	CY129712	Yes	6	1434	H1N1	02/11/2011	IRD:Human	Greece	-N/A-	10-11	A/Athens/INS564/2011	01/14/2013	
NA	CY113407	Yes	6	1437	H3N2	1989	IRD:Human	USA	Georgia	-N/A-	A/Atlanta/211/1989	04/16/2012	
NA	CY113375	Yes	6	1436	H3N2	1988	IRD:Human	USA	Georgia	-N/A-	A/Atlanta/3572/1988	04/12/2012	
NA	CY112371*	Yes	6	1442	(N2)	1982	IRD:Human	Australia	-N/A-	-N/A-	A/Auckland/4382/1982	04/12/2012	
NA	CY022151	Yes	6	1433	H1N1	08/30/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/579/2000(H1N1)	09/12/2007	
NA	CY022159	Yes	6	1427	H1N1	09/06/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/580/2000(H1N1)	09/12/2007	
NA	CY022175	Yes	6	1433	H1N1	11/09/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/582/2000(H1N1)	09/12/2007	
NA	CY025020	Yes	6	1430	H3N2	02/12/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/583/2000(H3N2)	01/17/2008	
NA	CY026157	Yes	6	1421	H1N1	09/15/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/585/2000(H1N1)	10/16/2007	
NA	CY022487	Yes	6	1429	H1N1	09/20/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/586/2000(H1N1)	09/12/2007	
NA	CY025036	Yes	6	1428	H1N1	10/30/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/597/2000(H1N1)	01/17/2008	
NA	EF584338	No	6	1413	H1N1	1996	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/6/1996(H1N1)	06/18/2008	
NA	CY023044	Yes	6	1434	H3N2	05/06/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/600/2000(H3N2)	09/12/2007	
NA	CY023060	Yes	6	1432	H3N2	10/02/2001	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/603/2001(H3N2)	03/17/2008	
NA	CY022543	Yes	6	1427	H1N1	07/23/2001	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/606/2001(H1N1)	09/12/2007	
NA	CY022551	Yes	6	1432	H3N2	06/08/2002	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/608/2002(H3N2)	09/12/2007	
NA	CY022559	Yes	6	1431	H3N2	06/18/2002	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/609/2002(H3N2)	09/12/2007	
NA	CY025052	Yes	6	1431	H3N2	07/29/2002	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/610/2002(H3N2)	01/17/2008	
NA	CY022191	Yes	6	1432	H3N2	09/09/2002	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/611/2002(H3N2)	09/12/2007	
NA	CY022567	Yes	6	1432	H3N2	08/14/2002	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/612/2002(H3N2)	09/12/2007	
NA	CY022199	Yes	6	1432	H3N2	08/01/2002	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/613/2002(H3N2)	09/12/2007	
NA	CY022599	Yes	6	1425	H3N2	01/30/2005	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/621/2005(H3N2)	09/12/2007	
NA	CY055655	Yes	6	1420	H1N1	07/22/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/27/2009(H1N1)	03/04/2010	
NA	CY055061	Yes	6	1412	H1N1	07/17/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/3/2009(H1N1)	02/05/2010	
NA	CY080549	Yes	6	1435	H3N2	07/23/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/30/2009	01/26/2011	
NA	CY080557	Yes	6	1432	H3N2	07/24/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/34/2009	01/26/2011	
