Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Date	Host Species	Country	State/Province	Flu Season	Strain Name	
PB1	CY022952	Yes	2	2303	H3N2	1970	IRD:Human	USA	New York	-N/A-	A/Albany/3/1970(H3N2)	
PB1	CY020379	Yes	2	2310	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/4/1958(H2N2)	
PB1	CY022003	Yes	2	2306	H2N2	1967	IRD:Human	USA	New York	-N/A-	A/Albany/4/1967(H2N2)	
PB1	CY021843	Yes	2	2306	H3N2	1969	IRD:Human	USA	New York	-N/A-	A/Albany/4/1969(H3N2)	
PB1	CY021107	Yes	2	2295	H3N2	1977	IRD:Human	USA	New York	-N/A-	A/Albany/4/1977(H3N2)	
PB1	CY021083	Yes	2	2284	H3N2	1975	IRD:Human	USA	New York	-N/A-	A/Albany/42/1975(H3N2)	
PB1	CY019953	Yes	2	2292	H1N1	1948	IRD:Human	USA	New York	-N/A-	A/Albany/4835/1948(H1N1)	
PB1	CY021707	No	2	2288	H1N1	1950	IRD:Human	USA	New York	-N/A-	A/Albany/4836/1950(H1N1)	
PB1	CY020395	Yes	2	2303	H2N2	1967	IRD:Human	USA	New York	-N/A-	A/Albany/6/1967(H2N2)	
PB1	AY210010	No	2	2274	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/6/58(H2N2)	
PB1	CY020555	Yes	2	2304	H2N2	1967	IRD:Human	USA	New York	-N/A-	A/Albany/8/1967(H2N2)	
PB1	GQ222041	Yes	2	2274	H1N1	2009	IRD:Human	Japan	-N/A-	-N/A-	A/Amagasaki/1/2009(H1N1)	
PB1	CY097946	Yes	2	2274	H1N1	12/23/2010	IRD:Human	Jordan	-N/A-	-N/A-	A/Amman/WRAIR3448N/2010	
PB1	CY113235	Yes	2	2312	H3N2	1977	IRD:Human	Netherlands	-N/A-	-N/A-	A/Amsterdam/1609/1977	
PB1	CY112466	Yes	2	2311	H3N2	1992	IRD:Human	Netherlands	-N/A-	-N/A-	A/Amsterdam/4112/1992	
PB1	CY098572	Yes	2	2272	H5N1	11/01/2005	IRD:Human	China	-N/A-	-N/A-	A/Anhui/1/2005	
PB1	HM172394*	Yes	2	2274	H5N1	2005	IRD:Human	China	-N/A-	-N/A-	A/Anhui/1/2005(H5N1)	
PB1	CY098679	No	2	2297	H5N1	03/17/2007	IRD:Human	China	-N/A-	-N/A-	A/Anhui/1/2007	
PB1	HM172359	Yes	2	2341	H5N1	2005	IRD:Human	China	-N/A-	-N/A-	A/Anhui/2/2005(H5N1)	
PB1	CY073457	Yes	2	2274	H1N1	11/02/2009	IRD:Human	Turkey	-N/A-	-N/A-	A/Ankara/WRAIR1424T/2009(H1N1)	
PB1	CY073062	Yes	2	2274	H1N1	11/15/2009	IRD:Human	Turkey	-N/A-	-N/A-	A/Ankara/WRAIR1425T/2009(H1N1)	
PB1	CY031585	Yes	2	2306	H2N2	1957	IRD:Human	USA	Michigan	-N/A-	A/Ann Arbor/23/1957(H2N2)	
PB1	AY210012	No	2	2274	H2N2	1960	IRD:Human	USA	Michigan	-N/A-	A/Ann Arbor/6/60(H2N2)	
PB1	AY210024	No	2	2274	H2N2	1967	IRD:Human	USA	Michigan	-N/A-	A/AnnArbor/7/67(H2N2)	
PB1	CY083629	Yes	2	2274	H1N1	07/06/2009	IRD:Human	Peru	-N/A-	-N/A-	A/Arequipa/WRAIR9939F/2009	
PB1	HM569681	Yes	2	2274	H1N1	06/15/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/19527/2009(H1N1)	
PB1	HM569689	Yes	2	2274	H1N1	06/12/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/19618/2009(H1N1)	
PB1	HM569697	Yes	2	2274	H1N1	06/18/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/19656/2009(H1N1)	
PB1	CY047929	No	2	2274	H1N1	06/24/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/9583/2009(H1N1)	
PB1	CY047953	Yes	2	2274	H1N1	06/24/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/9705/2009(H1N1)	
PB1	CY073966	No	2	2274	H1N1	01/15/2010	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/HNRG102/2010	
PB1	CY074006*	No	2	2274	H1N1	07/20/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/HNRG15/2009(H1N1)	
PB1	CY074016*	No	2	2274	H1N1	07/27/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/HNRG23/2009(H1N1)	
PB1	CY074077*	No	2	2274	H1N1	07/05/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/HNRG84/2009	
PB1	GQ377066	Yes	2	2274	H1N1	04/22/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/01/2009(H1N1)	
PB1	GQ117075	Yes	2	2274	H1N1	04/26/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/02/2009(H1N1)	
PB1	CY019969	Yes	2	2288	H1N1	1978	IRD:Human	USA	Arizona	-N/A-	A/Arizona/14/1978(H1N1)	
PB1	CY069435	Yes	2	2306	H3N2	02/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/WRAIR1142P/2009(H3N2)	
PB1	CY093357	Yes	2	2317	H3N2	03/01/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/WRAIR1562P/2009(H3N2)	
PB1	CY069539	Yes	2	2302	H1N1	03/2009	IRD:Human	USA	Arkansas	08-09	A/Arkansas/WRAIR1249P/2009(H1N1)	
PB1	CY093293	Yes	2	2317	H3N2	02/01/2009	IRD:Human	USA	Arkansas	08-09	A/Arkansas/WRAIR1251P/2009(H3N2)	
PB1	CY002960	Yes	2	2321	H3N2	10/12/2004	IRD:Human	New Zealand	-N/A-	-N/A-	A/Ashburton/280/2004(H3N2)	
PB1	CY063596	Yes	2	2303	H1N1	12/09/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS122/2009(H1N1)	
PB1	CY062897	Yes	2	2303	H1N1	12/20/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS163/2009(H1N1)	
PB1	CY067085	Yes	2	2303	H1N1	12/13/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS260/2009(H1N1)	
PB1	CY067157	Yes	2	2303	H1N1	12/15/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS270/2009(H1N1)	
PB1	CY066605	Yes	2	2303	H1N1	12/15/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS272/2009(H1N1)	
PB1	CY066629	Yes	2	2303	H1N1	12/15/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS275/2009(H1N1)	
PB1	CY072356	Yes	2	2303	H1N1	12/13/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS322/2009(H1N1)	
PB1	CY072396	Yes	2	2303	H1N1	12/26/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS332/2009(H1N1)	
PB1	CY072420	Yes	2	2303	H1N1	12/30/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS335/2009(H1N1)	
PB1	CY072428	Yes	2	2303	H1N1	12/30/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS336/2009(H1N1)	
PB1	CY072460	Yes	2	2303	H1N1	12/17/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS340/2009(H1N1)	
PB1	CY072468	Yes	2	2303	H1N1	12/17/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS341/2009(H1N1)	
PB1	CY072516	Yes	2	2303	H1N1	12/20/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS348/2009(H1N1)	
PB1	CY071141	Yes	2	2303	H1N1	01/13/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS389/2010(H1N1)	
PB1	CY075065	Yes	2	2303	H1N1	01/06/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS392/2010(H1N1)	
PB1	CY071293	Yes	2	2303	H1N1	02/05/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS414/2010(H1N1)	
PB1	CY071301	Yes	2	2303	H1N1	01/18/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS417/2010(H1N1)	
PB1	CY129700	Yes	2	2317	H1N1	02/24/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS555/2010	
PB1	CY129457	Yes	2	2317	H1N1	01/28/2011	IRD:Human	Greece	-N/A-	10-11	A/Athens/INS559/2011	
PB1	CY129708	Yes	2	2317	H1N1	02/04/2011	IRD:Human	Greece	-N/A-	10-11	A/Athens/INS562/2011	
PB1	CY129473	Yes	2	2317	H1N1	02/12/2011	IRD:Human	Greece	-N/A-	10-11	A/Athens/INS567/2011	
PB1	CY129732	Yes	2	2317	H1N1	02/27/2011	IRD:Human	Greece	-N/A-	10-11	A/Athens/INS571/2011	
PB1	CY113411	Yes	2	2314	H3N2	1989	IRD:Human	USA	Georgia	-N/A-	A/Atlanta/211/1989	
PB1	CY113379	Yes	2	2311	H3N2	1988	IRD:Human	USA	Georgia	-N/A-	A/Atlanta/3572/1988	
PB1	CY112378	Yes	2	2316	Mixed	1982	IRD:Human	Australia	-N/A-	-N/A-	A/Auckland/4382/1982	
PB1	CY022163	Yes	2	2293	H1N1	09/06/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/580/2000(H1N1)	
PB1	CY025024	Yes	2	2297	H3N2	02/12/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/583/2000(H3N2)	
PB1	CY022515	Yes	2	2285	H1N1	09/26/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/590/2000(H1N1)	
PB1	CY022523	Yes	2	2303	H3N2	10/09/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/593/2000(H3N2)	
PB1	CY023032	Yes	2	2303	H3N2	10/30/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/596/2000(H3N2)	
PB1	CY023040	Yes	2	2303	H3N2	09/22/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/599/2000(H3N2)	
PB1	CY022531	Yes	2	2303	H3N2	08/19/2001	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/602/2001(H3N2)	
PB1	CY022203	Yes	2	2303	H3N2	08/01/2002	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/613/2002(H3N2)	
PB1	CY022211	Yes	2	2303	H3N2	01/14/2002	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/614/2002(H3N2)	
PB1	CY055532	Yes	2	2299	H1N1	07/16/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/1/2009(H1N1)	
PB1	CY055587	Yes	2	2303	H1N1	07/20/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/14/2009(H1N1)	
PB1	CY066517	Yes	2	2299	H3N2	07/21/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/18/2009(H3N2)	
PB1	CY055643	Yes	2	2303	H1N1	07/22/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/25/2009(H1N1)	
PB1	CY055659	Yes	2	2303	H1N1	07/22/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/27/2009(H1N1)	
PB1	CY055667	Yes	2	2303	H1N1	07/23/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/28/2009(H1N1)	
PB1	CY055674	Yes	2	2303	H1N1	07/23/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/29/2009(H1N1)	
PB1	CY055698	Yes	2	2299	H1N1	07/24/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/35/2009(H1N1)	
PB1	CY055882	Yes	2	2303	H1N1	08/04/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/66/2009(H1N1)	
PB1	CY055548	Yes	2	2303	H1N1	07/20/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/9/2009(H1N1)	
PB1	EU146854	No	2	2277	H5N1	2006	IRD:Human	Azerbaijan	-N/A-	-N/A-	A/Azerbaijan/006-207/2006(H5N1)	
PB1	EU146855	No	2	2274	H5N1	2006	IRD:Human	Azerbaijan	-N/A-	-N/A-	A/Azerbaijan/008-208/2006(H5N1)	
PB1	EF674972	No	2	1242	H3N2	2004	IRD:Human	Germany	-N/A-	-N/A-	A/Baden-Wuerttemberg/97/2004(H3N2)	
PB1	DQ508823	Yes	2	2274	H3N2	1979	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/01/1979(H3N2)	
PB1	CY121006*	Yes	2	2316	H3N2	1979	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/1/1979	
PB1	CY125114	Yes	2	2316	H1N1	2000	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/163/2000	
PB1	CY071333*	Yes	2	2303	H1N1	02/23/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS424/2010(H1N1)	
PB1	CY071341	Yes	2	2303	H1N1	02/25/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS425/2010(H1N1)	
PB1	CY071349	Yes	2	2303	H1N1	02/25/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS426/2010(H1N1)	
PB1	CY071357	Yes	2	2303	H1N1	03/04/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS427/2010(H1N1)	
PB1	CY096304	Yes	2	2303	H1N1	08/11/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS478/2010(H1N1)	
PB1	CY096320	Yes	2	2303	H1N1	08/11/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS480/2010(H1N1)	
PB1	CY096328	Yes	2	2303	H1N1	08/12/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS481/2010(H1N1)	
PB1	CY096344	Yes	2	2303	H1N1	08/15/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS483/2010(H1N1)	
PB1	CY096376	Yes	2	2303	H1N1	08/20/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS492/2010(H1N1)	
PB1	CY096392	Yes	2	2299	H1N1	08/23/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS494/2010(H1N1)	
PB1	CY096432	Yes	2	2303	H1N1	08/24/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS500/2010(H1N1)	
PB1	CY096480	Yes	2	2303	H1N1	08/27/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS507/2010(H1N1)	
PB1	CY096496	Yes	2	2303	H1N1	09/01/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS511/2010(H1N1)	
PB1	CY096527	Yes	2	2303	H1N1	09/02/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS517/2010(H1N1)	
PB1	CY129780	Yes	2	2303	H1N1	09/09/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS582/2010	
PB1	CY129788	Yes	2	2317	H1N1	09/16/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS583/2010	
PB1	CY129820	Yes	2	2317	H1N1	10/11/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS587/2010	
PB1	FJ573466	No	2	2277	H5N1	02/2008	IRD:Human	Bangladesh	-N/A-	-N/A-	A/Bangladesh/207095/2008(H5N1)	
PB1	CY088767	No	2	2274	H5N1	03/09/2011	IRD:Human	Bangladesh	-N/A-	-N/A-	A/Bangladesh/3233/2011	
PB1	GU592895	Yes	2	2326	H1N1	12/18/2009	IRD:Human	Russia	-N/A-	09-10	A/Barnaul/04/2009(H1N1)	
PB1	CY045501	Yes	2	2321	H1N1	2009	IRD:Human	Germany	-N/A-	-N/A-	A/Bayern/66/2009(H1N1)	
PB1	CY009626	No	2	2301	H1N1	1982	IRD:Human	USA	Texas	-N/A-	A/Baylor/11735/82(H1N1)	
PB1	CY021035	Yes	2	2285	H1N1	1981	IRD:Human	USA	Texas	-N/A-	A/Baylor/4052/1981(H1N1)	
PB1	EF587275	Yes	2	2341	H5N1	2003	IRD:Human	China	-N/A-	-N/A-	A/Beijing/01/2003(H5N1)	
PB1	CY098707	No	2	2297	H5N1	12/04/2008	IRD:Human	China	-N/A-	-N/A-	A/Beijing/1/2009	
PB1	M25932	No	2	2341	H1N1	1956	IRD:Human	China	-N/A-	-N/A-	A/Beijing/11/1956	
PB1	CY033612	Yes	2	2300	H3N2	1992	IRD:Human	China	-N/A-	-N/A-	A/Beijing/32/1992(H3N2)	
PB1	CY006050	Yes	2	2299	H3N2	1975	IRD:Human	China	-N/A-	-N/A-	A/Beijing/39/75(H3N2)	
PB1	JF816660	Yes	2	2274	H1N1	01/14/2011	IRD:Human	China	-N/A-	-N/A-	A/Beijing/HZ01/2011	
PB1	CY009282	No	2	2294	H1N1	1942	IRD:Human	USA	Unknown	-N/A-	A/Bel/1942(H1N1)	
PB1	CY073180	Yes	2	2274	H1N1	12/15/2009	IRD:Human	Serbia	-N/A-	09-10	A/Belgrade/WRAIR2366N/2009(H1N1)	
PB1	CY093389	Yes	2	2317	H3N2	10/25/2010	IRD:Human	Serbia	-N/A-	10-11	A/Belgrade/WRAIR2379N/2010(H3N2)	
PB1	CY093397	Yes	2	2317	H3N2	10/26/2010	IRD:Human	Serbia	-N/A-	10-11	A/Belgrade/WRAIR2956T/2010(H3N2)	
PB1	AY210025	Yes	2	2274	H2N2	1968	IRD:Human	USA	California	-N/A-	A/Berkeley/1/68(H2N2)	
PB1	EF674969	No	2	1286	H3N2	1999	IRD:Human	Germany	-N/A-	-N/A-	A/Berlin/177/99(H3N2)	
PB1	EF674968	No	2	1284	H3N2	2003	IRD:Human	Germany	-N/A-	-N/A-	A/Berlin/3/03(H3N2)	
PB1	CY064778	Yes	2	2305	H1N1	12/11/2009	IRD:Human	Germany	-N/A-	09-10	A/Berlin/INS170/2009(H1N1)	
PB1	CY083803	Yes	2	2303	H1N1	12/12/2009	IRD:Human	Germany	-N/A-	09-10	A/Berlin/INS362/2009(H1N1)	
PB1	HQ263286	Yes	2	2274	H1N1	10/24/2009	IRD:Human	USA	Maryland	09-10	A/Bethesda/NIH107-D0/2009	
PB1	CY112239	Yes	2	2311	H3N2	1968	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/15793/1968	
PB1	CY112247	Yes	2	2311	H3N2	1968	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/16398/1968	
PB1	CY113243	Yes	2	2312	H3N2	1977	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/3895/1977	
PB1	CY112343	Yes	2	2312	H3N2	1975	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/4273/1975	
PB1	CY112367	Yes	2	2314	H3N2	1981	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/4791/1981	
PB1	CY113211	Yes	2	2311	H3N2	1976	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/5029/1976	
PB1	CY112335	Yes	2	2311	H3N2	1974	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/5146/1974	
PB1	CY112351	No	2	2307	H3N2	1976	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/5168/1976	
PB1	CY113099	Yes	2	2312	H3N2	1973	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/552/1973	
PB1	CY113123	Yes	2	2311	H3N2	1974	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/5930/1974	
PB1	CY112303	Yes	2	2312	H3N2	1972	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/6022/1972	
PB1	CY113195	Yes	2	2311	H3N2	1976	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/628/1976	
PB1	CY077860	Yes	2	2287	H3N2	1971	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/6449/1971(H3N2)	
PB1	CY113227	Yes	2	2311	H3N2	1976	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/6545/1976	
PB1	CY077866	Yes	2	2319	H3N2	1974	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/7398/1974(H3N2)	
PB1	CY113051	Yes	2	2311	H3N2	1969	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/908/1969	
PB1	CY113147	Yes	2	2314	H3N2	1974	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/9459/1974	
PB1	HM173605	Yes	2	2316	H1N1	11/12/2009	IRD:Human	Russia	-N/A-	09-10	A/Blagovechensk/01/2009(H1N1)	
PB1	CY067021	Yes	2	2303	H1N1	11/13/2009	IRD:Human	Germany	-N/A-	09-10	A/Bochum/INS249/2009(H1N1)	
PB1	CY044145	Yes	2	2274	H1N1	06/25/2009	IRD:Human	Colombia	-N/A-	-N/A-	A/Bogota/0466N/2009(H1N1)	
PB1	CY049834	Yes	2	2274	H1N1	06/16/2009	IRD:Human	Colombia	-N/A-	-N/A-	A/Bogota/WR0090N/2009(H1N1)	
PB1	CY093405	Yes	2	2317	H3N2	12/01/2010	IRD:Human	Colombia	-N/A-	-N/A-	A/Bogota/WRAIR3457N/2010(H3N2)	
PB1	CY066637	Yes	2	2303	H1N1	11/19/2009	IRD:Human	Germany	-N/A-	09-10	A/Bonn/INS277/2009(H1N1)	
PB1	CY129596	Yes	2	2317	H1N1	02/08/2011	IRD:Human	Germany	-N/A-	10-11	A/Bonn/INS533/2011	
PB1	CY080624	Yes	2	2317	H1N1	04/27/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/100/2009	
PB1	CY064474	Yes	2	2303	H1N1	06/15/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/103/2009(H1N1)	
PB1	CY064490	Yes	2	2303	H1N1	06/16/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/108/2009(H1N1)	
PB1	CY064530	Yes	2	2303	H1N1	06/20/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/118/2009(H1N1)	
PB1	CY064570	Yes	2	2303	H1N1	06/26/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/124/2009(H1N1)	
PB1	CY064586	Yes	2	2303	H1N1	06/20/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/126/2009(H1N1)	
PB1	CY080656	Yes	2	2300	H1N1	02/10/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/13/2009(H1N1)	
PB1	CY064666	Yes	2	2303	H1N1	06/18/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/138/2009(H1N1)	
PB1	CY044498	Yes	2	2305	H3N2	12/15/2007	IRD:Human	USA	Massachusetts	07-08	A/Boston/14/2007(H3N2)	
PB1	CY064690	Yes	2	2303	H1N1	06/30/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/142/2009(H1N1)	
PB1	CY064698	Yes	2	2303	H1N1	07/08/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/143/2009(H1N1)	
PB1	CY080671	Yes	2	2305	H3N2	02/12/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/16/2009(H3N2)	
PB1	CY080695	Yes	2	2338	H1N1	02/11/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/20/2009(H1N1)	
PB1	CY089065	Yes	2	2314	H1N1	02/18/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/23/2009(H1N1)	
PB1	CY089073	Yes	2	2314	H1N1	02/20/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/25/2009(H1N1)	
